car_price,manufacturing_year,company,model,condition,cylinders,fuel,dist_reading,title_status,transmission,VIN,drive,size,car_type,color,image_url,county,state,lat,long,posting_date
7480,2013,hyundai,sonata gls,,,gas,117000,clean,automatic,,,,,,https://images.craigslist.org/00v0v_2PZiPtPhOLlz_0CI0t2_600x450.jpg,,al,33.209824,-86.782894,2021-04-23T16:05:47-0500
0,2015,gmc,yukon denali 4x4,like new,8 cylinders,gas,79000,clean,automatic,,4wd,full-size,SUV,black,https://images.craigslist.org/00s0s_71BYRtp0Zcfz_0CI0t2_600x450.jpg,,al,34.188155,-86.851389,2021-04-23T16:00:57-0500
13750,2013,ford,e350,good,,gas,136850,clean,automatic,,,,,,https://images.craigslist.org/00M0M_kFelxlejfkYz_0CI0t2_600x450.jpg,,al,33.9259,-86.4741,2021-04-23T15:56:01-0500
0,2016,ram,3500 laramie 4x4,like new,6 cylinders,diesel,128377,clean,automatic,,4wd,full-size,truck,black,https://images.craigslist.org/00Z0Z_5Y83aaLKMDDz_0CI0t2_600x450.jpg,,al,34.188155,-86.851389,2021-04-23T15:35:48-0500
4450,2004,cadillac,srx,,6 cylinders,gas,144850,clean,automatic,1GYDE637940132303,rwd,,SUV,white,https://images.craigslist.org/00W0W_kgCj7etCq8Hz_0kE0fu_600x450.jpg,,al,33.455361,-86.962474,2021-04-23T15:10:30-0500
14500,2015,honda,crosstour ex-l,excellent,,gas,60201,rebuilt,automatic,,,,hatchback,silver,https://images.craigslist.org/00v0v_8UF98wlEMcMz_0ak07K_600x450.jpg,,al,33.9602,-83.5893,2021-04-23T15:05:30-0500
0,2007,chevrolet,silverado 2500 lt 4x4,like new,8 cylinders,diesel,120000,clean,automatic,,4wd,full-size,truck,silver,https://images.craigslist.org/00o0o_6rh1fMnpeFgz_0CI0t2_600x450.jpg,,al,34.188155,-86.851389,2021-04-23T14:56:20-0500
0,2016,ram,3500 laramie 4x4,like new,6 cylinders,diesel,160000,clean,automatic,,4wd,full-size,truck,custom,https://images.craigslist.org/00E0E_9ub7PQt3HREz_0CI0t2_600x450.jpg,,al,34.188155,-86.851389,2021-04-23T14:52:02-0500
27995,2012,ford,f250 super duty,,,gas,26896,clean,automatic,1FDBF2A65CEC50925,,,,white,https://images.craigslist.org/00404_aSCwv1B22IKz_0CI0t2_600x450.jpg,,al,34.9506,-85.2432,2021-04-23T14:26:28-0500
1800,2007,nissan,pathfinder,fair,6 cylinders,gas,147000,clean,automatic,,fwd,mid-size,SUV,grey,https://images.craigslist.org/00m0m_aw0cSn9l4uMz_0CI0t2_600x450.jpg,,al,33.6493,-86.7057,2021-04-23T14:09:11-0500
3999,2006,honda,accord sedan,,4 cylinders,gas,253076,clean,automatic,3HGCM56406G701183,fwd,,sedan,silver,https://images.craigslist.org/00f0f_6dimpbGGoFJz_0kE0fu_600x450.jpg,,al,33.455361,-86.962474,2021-04-23T13:50:28-0500
199,2017,dodge,charger,,,gas,21737,clean,automatic,,,,,,https://images.craigslist.org/00i0i_ChcqziILO2_600x450.jpg,,al,33.4816,-86.859,2021-04-23T13:46:52-0500
22590,2013,ford,f150 super cab xl pickup 4d,good,6 cylinders,other,14169,clean,other,1FTEX1CMXDFB16329,,,pickup,silver,https://images.craigslist.org/00909_lPs0VlcaPt1z_0gw0co_600x450.jpg,,al,33.52,-86.79,2021-04-23T13:21:00-0500
14950,2007,jeep,wrangler,excellent,,gas,,clean,automatic,,,,,silver,https://images.craigslist.org/00T0T_6AcU1UtefUxz_0ak07K_600x450.jpg,,al,34.339168,-84.021823,2021-04-23T12:45:58-0500
24990,2012,chevrolet,silverado 1500 regular,good,8 cylinders,gas,26460,clean,other,1GCNCSE01CZ116728,,,pickup,red,https://images.craigslist.org/00d0d_lCuoFmi59X1z_0gw0co_600x450.jpg,,al,33.52,-86.79,2021-04-23T12:40:53-0500
24995,2012,ford,f-250 super duty,,,gas,40023,clean,automatic,1FDBF2A62CEC73000,,,,green,https://images.craigslist.org/01515_aAj1pDYKtWdz_0CI0t2_600x450.jpg,,al,34.9506,-85.2432,2021-04-23T12:40:10-0500
0,2014,,Freightliner Cascadia,,,diesel,100,clean,automatic,,,,,,https://images.craigslist.org/00M0M_aVuQx61rdczz_07K05O_600x450.jpg,,al,36.0127,-86.56,2021-04-23T12:32:24-0500
2999,2007,ford,taurus,,6 cylinders,gas,162029,clean,automatic,1FAFP56U47A197052,fwd,,sedan,blue,https://images.craigslist.org/00C0C_7CUkskadCUFz_0kE0fu_600x450.jpg,,al,33.455361,-86.962474,2021-04-23T12:30:21-0500
15897,2018,chevrolet,malibu,,4 cylinders,gas,50153,clean,other,1G1ZB5ST6JF260156,fwd,,sedan,silver,https://images.craigslist.org/00B0B_aWHGo0gpvdrz_0ak07K_600x450.jpg,,al,34.2056,-86.85834,2021-04-23T12:02:04-0500
16700,2013,ford,f-150,,8 cylinders,gas,180917,clean,other,1FTFW1EF6DKD13303,4wd,,truck,,https://images.craigslist.org/00606_gmUsOUfwbiuz_0ak07K_600x450.jpg,,al,34.2056,-86.85834,2021-04-23T12:01:46-0500
6900,2010,mazda,3i,good,4 cylinders,gas,165255,rebuilt,automatic,JM1BL1SFXA1196709,fwd,mid-size,sedan,grey,https://images.craigslist.org/00N0N_4i4abv0MuRBz_0CI0t2_600x450.jpg,,al,33.243013,-86.81742,2021-04-23T12:00:32-0500
